,rt,response,subj_idx,cond
0,0.779809312523929,1,110174,Neutral
1,0.464630708474938,1,110174,Neutral
2,0.5920800443660279,1,110174,Neutral
3,0.50069858573419,1,110174,Neutral
4,0.5308990558404111,1,110174,Neutral
5,0.466071730867148,0,110174,Neutral
6,0.5584212988509829,1,110174,Angry
7,0.629669096140868,1,110174,Angry
8,0.667241020813352,1,110174,Angry
9,0.5098690523274421,1,110174,Angry
10,0.8213662944499079,1,110174,Angry
11,0.47261990155794004,1,110174,Angry
12,0.5194691813994289,1,110174,Neutral
13,0.581374697943931,1,110174,Neutral
14,0.6062947273897011,1,110174,Neutral
15,0.6331413792150711,1,110174,Neutral
16,0.673306721611079,1,110174,Neutral
17,0.5529034999427679,1,110174,Neutral
18,0.572293202603541,1,110174,Angry
19,0.561897825512046,1,110174,Angry
20,0.5344042601649129,1,110174,Angry
21,0.521270027669569,1,110174,Angry
22,0.8257806178877221,1,110174,Angry
23,0.556257404666321,1,110174,Neutral
24,0.540504936707366,1,110174,Neutral
25,0.5476593987692759,1,110174,Neutral
26,0.491422291955299,1,110174,Neutral
27,0.965226442389292,1,110174,Neutral
28,0.664529056985077,1,110174,Neutral
29,0.794510621795402,1,110174,Angry
30,0.6855915230888789,1,110174,Angry
31,0.49433887869207005,1,110174,Angry
32,0.5097596004689261,1,110174,Angry
33,0.544258108838854,1,110174,Angry
34,0.564298224569458,1,110174,Angry
35,0.6397534618527281,1,110174,Neutral
36,0.603678471424559,1,110174,Neutral
37,0.609819207253284,1,110174,Neutral
38,0.623719706963166,1,110174,Neutral
39,0.5137156840223179,1,110174,Neutral
40,0.7529919430662121,1,110174,Neutral
41,0.49862281850585705,1,110174,Angry
42,0.538283123936737,1,110174,Angry
43,0.627206284266227,1,110174,Angry
44,0.57923376396799,1,110174,Angry
45,0.550943045309396,1,110174,Angry
46,0.5338689039144079,1,110174,Angry
47,0.653229309997754,1,110174,Angry
48,0.6483967507015911,0,110174,Angry
49,0.975334145657951,1,110174,Angry
50,0.638280979052448,1,110174,Angry
51,0.637543496863975,1,110174,Angry
52,0.6749703047598891,1,110174,Angry
53,0.7204675208311241,1,110174,Neutral
54,0.564073944431933,1,110174,Neutral
55,1.32149749987171,0,110174,Neutral
56,0.701529209739994,1,110174,Neutral
57,0.569986170351331,1,110174,Neutral
58,0.53073404224246,1,110174,Neutral
59,0.575406572803302,1,110174,Angry
60,0.835994367409119,1,110174,Angry
61,0.5887164114830671,1,110174,Angry
62,0.583408350207406,0,110174,Angry
63,0.5942540184016399,1,110174,Angry
64,0.5963729517223261,1,110174,Angry
65,0.684003488101298,1,110174,Angry
66,0.763290771945176,1,110174,Angry
67,0.564591262181901,1,110174,Angry
68,0.516268356049201,1,110174,Angry
69,0.639149170110555,1,110174,Angry
70,0.590129253158724,1,110174,Angry
71,0.644563503021549,1,110174,Neutral
72,0.611446242900041,1,110174,Neutral
73,0.971035169944807,1,110174,Neutral
74,0.60104026295949,1,110174,Neutral
75,0.645161820349167,1,110174,Neutral
76,0.584349508381798,1,110174,Neutral
77,0.5254436602761849,1,110174,Angry
78,0.760840128756245,1,110174,Angry
79,0.507583193011931,1,110174,Angry
80,0.564412690894329,1,110174,Angry
81,0.5151854294702639,1,110174,Angry
82,0.513745257295319,1,110174,Angry
83,0.604246518411499,1,110174,Neutral
84,0.661994640157616,1,110174,Neutral
85,0.926791185607086,1,110174,Neutral
86,0.788480174227443,1,110174,Neutral
87,0.6979155652129561,1,110174,Neutral
88,0.966048994856887,1,110174,Neutral
89,0.80560762077308,1,110174,Angry
90,0.68983458063443,1,110174,Angry
91,0.763226406470174,1,110174,Angry
92,0.636065094119927,1,110174,Angry
93,0.596950479776773,1,110174,Angry
94,0.563964519019355,1,110174,Angry
95,0.839081888082321,1,110174,Neutral
96,0.8640302659987942,0,110174,Neutral
97,0.48095846763526795,1,110174,Neutral
98,1.2211322873371,0,110174,Neutral
