,v_angry,v_neutral,t,a
110174,2.2291197302247583,2.123436640818096,0.43181200108382967,1.3187454759415516
110187,1.755755620543627,2.1779545108766016,0.425126668550366,1.4542562974827467
110411,1.7561526711159352,2.1278268808632212,0.4629813107987013,1.6592462520559275
112141,3.272367122034416,3.777636270602072,0.5130868230359059,1.39013128966939
120061,2.200577679556488,2.2840562216673512,0.4725968862271175,1.2870008995607294
120065,2.7715563232481197,2.7773602611991897,0.45951076975538885,1.5235389073525585
120120,2.272000171357712,2.257565709678312,0.4717553054808921,1.4980480158790306
120182,1.4761304515642544,1.713477517815158,0.41759066009113593,1.0738652504842736
121397,2.155350607273754,2.310168481845777,0.4693005128998169,1.6121800941593398
121411,1.647337052981683,1.691295953120244,0.41868930112318564,1.0935194999737627
121428,2.1988061053729875,2.667961911347336,0.4663553726099277,1.224381528553574
122620,1.841379324882352,1.9307992864205132,0.4620172983836534,1.2732752394704763
210051,2.2717901340569218,2.641200602452398,0.5583208075139191,1.4585410518927977
210148,1.8834574055882733,2.264291141729065,0.38182736685629254,1.4002313475797648
220107,3.35043584827812,3.0793281014140543,0.5086563397131832,1.4262509414152733
220203,1.0545786018236962,1.6627222176190717,0.46421665563530357,1.2367187663498742
220232,2.9473659598647477,2.648830542457104,0.4037831014652312,1.308976095500548
220419,2.9006444573051313,3.4096572215339673,0.4415890613899998,1.299107968383952
220519,2.3788828768264447,2.7609480072341803,0.4564687759401185,1.379014865941594
220535,2.8090912995618726,3.0452474543130035,0.4912165226439227,1.2264688192218964
220635,2.071685933611441,3.1252084746258246,0.5041800272277469,1.2096907771401393
220697,2.915647535687098,3.0503880611171414,0.41279340906586737,1.2897497414651768
220713,1.554858567716904,1.8002299671151496,0.4811760712473472,1.2763418298544196
220843,2.6085877742122623,3.2172360855765847,0.4429082976466035,1.227621380365262
220901,2.123107039813985,2.0595933533693964,0.3840440830785383,1.3263161407845088
220999,2.4113731053175047,2.963234173336799,0.48395033545116134,1.183054919196257
221040,2.6511694530468435,2.681916729237949,0.43087045088486975,1.4144407875794645
