subj_idx,trial,sot
610496,199,702727.894561172
610496,200,707979.830451361
610496,201,709731.092930589
610496,202,714982.425202787
610496,203,716733.646790345
610496,204,718500.380625234
610496,205,725486.286527068
610496,206,728987.582508437
610496,207,732488.857639188
610496,208,734240.204036393
610496,209,736006.864950956
610496,210,739508.128109495
610496,211,744760.063563915
610496,212,746527.373047425
610496,213,748294.697034479
610496,214,753546.698976494
610496,215,755313.979766327
610496,216,760565.889759024
610508,24,88583.7345878759
610508,46,164077.866341288
610508,93,334239.679687068
610508,193,679531.938959368
610508,206,728566.456238899
620005,1,6011.7401334928
620005,79,279993.621110966
620118,55,199402.81972512
620118,86,304691.658153047
620129,93,333645.221459585
620129,104,366957.401734782
620152,4,18308.3844690047
620152,63,225534.490089009
620152,105,372821.863344451
620152,115,406134.147120725
620152,123,432443.791993527
620152,132,465756.005230812
620152,172,605891.558065089
620152,174,612910.122555409
620496,1,6033.93618673203
620496,13,53451.0291947408
620496,81,288702.700959553
620496,82,290469.961893372
620496,96,341288.312204605
620496,111,390356.64353081
620496,112,392123.31876833
620496,123,432454.502701038
620496,156,549847.58999475
620496,158,558600.080959711
620496,159,560351.412075927
620496,161,565603.32502615
620496,166,584876.214738284
620496,180,630442.662905028
620496,182,644431.121536864
620496,192,677727.015116816
620496,201,709255.115003533
620496,214,753086.97506424
620496,215,754854.280003316
620572,10,35928.3223983106
620572,21,78077.2483542205
620572,29,102703.008855513
620572,59,209859.212868618
620572,67,237919.576633839
620572,91,322034.008625787
620572,100,353578.952792832
620572,101,358830.896519371
620572,108,383356.621209813
620572,137,486761.54214648
620572,201,709244.350532278
620572,204,718013.521084292
620592,56,200490.364429559
620592,57,202257.043511691
620592,58,205758.340795664
620592,59,209259.534119077
620592,60,214511.717960671
620592,61,216278.764845588
620592,62,218046.06143368
620592,63,225031.822289499
620592,64,226783.171010626
620592,65,230283.696646115
620592,66,235535.603304151
620592,67,237302.868038824
620592,68,239070.160139018
620592,149,528273.39384562
620592,211,743783.552693528
620619,118,416992.282808164
620619,166,585236.491470197
620619,182,644774.566121959
620619,183,648275.953675394
620619,184,653527.869925438
620619,185,655295.175675654
620619,186,657062.408865706
620619,187,658829.64341871
620619,188,664081.587237662
620685,13,53560.3121367616
620685,68,239995.55526
620685,111,390783.078960789
620685,126,445120.312133209
620685,129,459125.548823743
620885,65,230325.928256785
620885,160,563427.83096926
620885,193,679052.317595955
620885,205,724601.895011605
710350,2,7777.42145989493
710350,165,582784.463338425
710446,126,444714.791625287
710982,34,120314.073744706
710982,55,199425.948252002
710982,56,201193.301049154
710982,57,202960.946112249
710982,58,206478.516059792
710982,59,209979.743614884
710982,60,215248.3261428
710982,61,217015.645641748
710982,62,218782.954040111
710982,128,457169.567720162
710982,134,474725.352485326
710982,167,590367.135362566
710982,168,592118.379806353
710982,189,665678.479108495
710982,199,702457.529655374
710982,200,707709.422623122
710982,201,709476.772956854
711035,10,35976.3847433342
711035,12,43011.7129361148
711035,17,65853.4984088891
711035,21,78224.8095316663
711035,22,81759.4487122304
711035,23,87028.0941194813
711035,28,101166.555635596
711035,29,102933.843871795
711035,30,106485.244883065
711035,31,111753.867533206
711035,32,113537.865867098
711035,33,115305.129757051
711035,34,120573.730535831
711035,35,124108.382261738
711035,36,127626.415279165
711035,38,136412.87003888
711035,39,138180.274948785
711035,41,146983.538098245
711035,45,162805.990137954
711035,54,192700.456896722
711035,60,215525.424902011
711035,82,290936.651464998
711035,119,424136.229500484
711035,150,531108.712024315
711035,203,716828.018535594
711035,207,732599.855749275
711035,214,753640.88246265
720329,1,6019.37590113204
720329,2,7786.64722239765
720329,32,112957.4408229
720329,63,225114.046946887
720358,5,20055.2460175175
720358,22,81377.4203681117
720358,49,179579.372173343
720511,7,28812.5816669693
720511,8,32313.8257935787
720511,9,34065.1931958665
720511,10,35831.7674812312
720511,11,39333.1189365532
720511,12,42834.406630458
720511,13,53321.5459269142
720511,14,56822.7512066502
720511,20,74345.8146005858
720511,23,86600.3563158684
720511,24,88367.5879788905
720511,25,91868.864897413
720511,26,93620.2182110631
720511,27,98871.4423697236
720511,35,123447.009952002
720511,36,126948.298350477
720511,37,133950.835797684
720511,108,382858.196906207
720511,142,502034.901816883
720511,150,530062.421161968
720511,167,589616.783825677
720511,168,591368.077306924
720511,169,598353.921874038
720511,170,600120.606736242
720511,180,629898.079916794
720511,181,640385.251218097
720511,182,643886.572894382
720511,183,647387.811816646
720511,184,652639.70606246
720511,198,698206.29136359
720511,199,701707.783798836
720511,200,706959.528313058
720511,201,708710.760724464
720511,202,713962.046576619
720511,203,715713.326907865
720511,204,717479.984628532
720511,205,724465.911903878
720511,206,727967.186200295
720511,208,733219.754247156
721377,58,206287.012993641
721377,203,716171.348230688
721418,21,77849.3947885501
721418,37,133919.853334965
721418,38,135687.170450293
721418,58,205762.725127296
721418,116,407319.652196206
721418,149,528230.369760328
721418,150,529981.81130825
721418,168,591287.273742234
721418,169,598289.259413608
721418,170,600056.607986706
721418,180,629834.096580566
721418,187,657861.028029256
721519,1,6042.95892794411
721519,32,113315.888633287
721519,33,115099.863544179
721519,46,164252.033477669
721519,50,181824.482421204
721519,61,216987.517867335
721519,62,218754.825273441
721519,108,383482.280086443
721519,109,385249.689505615
721519,176,618403.012098522
721519,185,655150.015977027
721519,194,681475.615376266
721707,1,6038.98404790287
721707,2,7806.27691141759
721707,5,20110.7571250385
721707,32,113328.100841537
721707,46,164296.71619248
721707,48,169598.705917599
721707,64,227587.150375376
721707,71,252112.074389175
721707,80,281906.363200129
721707,82,290660.210689729
721707,113,397581.822028372
721707,114,404568.428325689
721707,125,443165.168878135
721707,126,444932.432157208
721707,161,565827.229704436
721707,165,583333.60038406
721707,185,655126.314935701
721707,186,656893.130048629
721707,189,665663.520066628
721707,194,681468.838477024
721707,195,686720.615205687
721707,196,690221.884443409
721707,197,693723.169522708
721707,200,707728.270888824
721707,211,744541.682735863
721707,212,746309.000610627
722891,28,100668.860159149
722891,29,102436.312062854
722891,32,112956.602617743
722891,149,528371.165579756
723197,2,7804.67345211687
723197,5,20075.7610631311
723197,44,160576.747323818
723197,45,162344.051046
723197,46,164095.411634681
723197,50,181634.434920622
723197,56,200958.05540723
723197,63,225516.997070015
723197,64,227284.344288049
723197,65,230785.664831495
723197,80,281637.405469595
723197,82,290390.638897792
723197,138,488413.101055868
723197,146,516456.032567714
723197,150,530461.832604817
723197,162,567257.924537194
723197,164,581246.310057392
723197,200,707375.529364584
723197,201,709143.002837227
